,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
91-50787,0.3197600387410006,0.3801082043877175,0.3794895925032372,1.088730086555864,0.633591677456728,0.8325399580140094,0.8750138611968394,0.0508311067623816,0.4145717585285035,p3t1
91-51025,0.335138282777331,0.4341003925787836,-0.2537920859002567,0.4882739326834057,0.2637255062574798,0.4078556663995761,0.421856528876963,0.0043569616220456,0.0864050841783036,p3t2
91-51041,0.0944722632125223,0.1701363673465963,0.5413879717931531,0.8695538574575227,0.7770224440987789,0.8546940091062931,0.8375637170683256,0.5382466666719555,0.681007706048916,p3t2
91-51076,1.1390892715285077,1.2217133783314815,-4.535192673364351,1.1157806885371064,2.4890524722649943,1.411808003609894,1.48468904082012,3.711954768816424,3.850229754468751,p3t2
91-51127,0.2190222188787747,0.2364990985222177,0.2311801774503318,1.0775039864157157,0.5115729616647987,0.7413567211516893,0.8437287326064029,0.0015096735579469,0.0949612631682213,p3t2
91-51345,0.7776279681524692,1.072132673645078,-1.447879498439895,0.0930176686082839,-0.1200223137832636,-0.003101911974296,-0.0046784546403584,-0.8758709450546737,-0.1625316897570276,p3t1
91-51480,2.994254170313361,3.3744600836027363,-6.173360653661643,0.980358997180864,3.273929763535941,1.1895869177554048,1.222293980620697,10.750622335784138,11.233770003612886,p3t1
91-51483,160.19208848353065,253.02354793254003,-397423.6599116385,488.9542873600981,-306.352775073182,1.1373433009778833,1.182901736471737,-2155.9040888087857,-3.2075433678651315,p3t2
91-51488,0.0666364169741119,0.1442471575265896,0.6992629365689812,0.7659176735274316,0.6982780610186171,0.7169374071612985,0.7536862663349455,-0.0009138679489707,2.564771699975008e-06,p3t2
91-51806,0.0449751476389945,0.0712921020470676,0.8396693155235794,1.0446955573064416,0.7085916814437574,1.1875974611239368,0.9925980309183028,-1.651814431371844e-05,3.3212591715672695e-11,p3t1
91-51944,0.0331602235639342,0.0378330686444013,0.8919653900157113,1.0985661231979018,0.753911449556768,1.0463570033661151,1.0168548612298065,0.000458495064666,0.0629156136356892,p3t2
91-51946,0.0782829954273604,0.0848679552861286,0.7482221120586776,1.2010622912939068,0.6768044925525344,1.0253420905053598,1.027370776381594,1.6368870902070305e-05,0.018186674318142,p3t2
91-51970,30098.82192233071,32197.907360890826,-15685611643.73223,44480.62926626888,-134681.92438200102,-0.0309060731477106,-0.4251670563827897,-251038147.3857268,-190506.17882563244,p3t1
91-90045,0.0571061326338003,0.1070034603636235,0.7248919625825054,0.9523116494657108,0.5898845453163027,0.8004125733587091,0.976241170655233,-10.79796567522469,-6.169198433284912e-07,p3t2
92-063125,2.897943933900068,3.445779332021818,-2.8651298370388827,0.816070510053444,3.480650287252369,0.9974925899281104,1.072577047150571,5379.66695361635,41.33631919159621,p3t2
92-50184,0.1179110478300793,0.1307087114968001,-0.0064630164686385,0.5162734689178627,1.871922737179781,0.8668675937906924,0.8545529326836185,16.895419432456272,3.042124762349512,p3t2
92-50328,0.0221793804321499,0.0482346975989203,0.8341047128815995,0.8475883807545773,0.6476109412341708,1.0129760778751422,0.8009775193704947,-1.8953608487325695e-11,-6.6388486206765575e-15,p3t1
92-50403,0.017684671654812,0.0400494985424232,0.9362647209939308,0.8804824514867118,0.8033903964230871,0.9586856213145972,0.8614424698146197,-7.89271088778885e-07,6.3727767879247754e-09,p3t2
92-50404,0.0527769168074979,0.1161046758150456,0.6782197968534995,0.5562887943894514,0.416142391005288,0.6525238181039603,0.5089854113209926,-22.308412620451048,-1.5897116030131646e-05,p2t1
92-50757,0.0153970586148828,0.0313078291166234,0.9273608374291444,1.0107951356285887,0.8529483783442466,1.120697914941144,0.9816714036980632,-4.4010899196126216e-05,1.904396179979092e-11,p3t2
92-50867,0.0873042451467999,0.1558309659685007,0.692848100660804,0.8820057104970561,0.6252946229532345,1.0298138338404936,0.8630697450500748,1.637912382677926e-08,0.0002609854263424,p3t2
92-50996,0.279191239080254,0.3501462223297169,0.3843426017090088,0.8632078303513512,0.5712612587918063,0.6111039933586309,0.682507997260898,8.758499707248126e-06,0.0256134827536981,p3t1
92-51238,0.0240984317311616,0.0531164106207215,0.7727975977269683,0.7715530374550168,0.614580317420926,0.9134981040083388,0.7449330347814856,-5.615910393154684e-11,9.12229746321992e-07,p3t2
